depth,seed,round,test_acc,test_f1,test_auc,cumulative_bytes,n_params
2,0,1,0.5093346098611776,0.30224642614023145,0.5055667482531068,6272,49
2,0,2,0.6179990426041168,0.2611111111111111,0.5140042846756245,12544,49
2,0,3,0.5227381522259454,0.29240596167494676,0.5282402859410469,18816,49
2,0,4,0.6055528961225467,0.28719723183391005,0.5546060262963641,25088,49
2,0,5,0.5615126854954524,0.3428981348637016,0.5835858627904782,31360,49
2,0,6,0.5667783628530397,0.3408594319009468,0.5986488286518257,37632,49
2,0,7,0.5557683101962662,0.34831460674157305,0.6002250564722468,43904,49
2,0,8,0.5270464337003351,0.36175710594315247,0.6027004001620628,50176,49
2,0,9,0.5414073719483006,0.36387782204515273,0.6048760385620806,56448,49
2,0,10,0.5021541407371948,0.39323220536756126,0.6173609839213663,62720,49
2,0,11,0.5131641933939685,0.3877182420228778,0.6085280030192532,68992,49
2,0,12,0.48635710866443277,0.3988795518207283,0.6234050405989665,75264,49
2,0,13,0.47774054571565344,0.3887955182072829,0.6152491716478794,81536,49
2,0,14,0.44901866921972233,0.3906829010058232,0.6154808882376774,87808,49
2,0,15,0.4940162757300144,0.38150965476887067,0.6182920128540269,94080,49
2,0,16,0.47056007659167065,0.3949671772428884,0.6297016267337118,100352,49
2,0,17,0.4796553374820488,0.3813318155947638,0.6275814893132864,106624,49
2,0,18,0.4413595021541407,0.3722431414739107,0.6325474394623065,112896,49
2,0,19,0.4940162757300144,0.37492607924305144,0.630305199886778,119168,49
2,0,20,0.4552417424605074,0.37265711135611906,0.6373052609378556,125440,49
2,0,21,0.47103877453326953,0.37251561612720047,0.6272568085826715,131712,49
2,0,22,0.4801340354236477,0.3729792147806005,0.6283612780765581,137984,49
2,0,23,0.5059837242699856,0.38498212157330153,0.6335866953051721,144256,49
2,0,24,0.46290090952608903,0.37942477876106195,0.6425653662787149,150528,49
2,0,25,0.5193872666347534,0.3787128712871287,0.6432591285236184,156800,49
2,1,1,0.49784585926280517,0.31393067364290383,0.5015318270367473,6272,49
2,1,2,0.59167065581618,0.27156276686592656,0.50878164249599,12544,49
2,1,3,0.488750598372427,0.30013106159895153,0.5090730226388496,18816,49
2,1,4,0.5399712781235041,0.27906976744186046,0.5161826981246219,25088,49
2,1,5,0.5256103398755385,0.2718589272593681,0.5251239059369397,31360,49
2,1,6,0.49784585926280517,0.3039150630391506,0.5351376701798787,37632,49
2,1,7,0.5308760172331259,0.2877906976744186,0.5460297374248656,43904,49
2,1,8,0.5993298228817616,0.32226720647773277,0.5784922603883959,50176,49
2,1,9,0.5892771661081857,0.36350148367952523,0.6067367089029122,56448,49
2,1,10,0.6036381043561513,0.3774436090225564,0.6212377273458877,62720,49
2,1,11,0.6017233125897559,0.3891336270190896,0.6291022161541151,68992,49
2,1,12,0.6385830540928674,0.38767234387672345,0.6361050522541722,75264,49
2,1,13,0.6610818573480134,0.3979591836734694,0.6470581705767107,81536,49
